tokenizer,n,mediana,mediana_pct_vs_BETO,P90,P90_pct_vs_BETO,P95,P95_pct_vs_BETO,P90_over_median,P95_over_median,top_5pct_n,top_5pct_token_share
BETO,400,819.0,0.0,9800.400000000009,0.0,18110.89999999993,0.0,11.966300366300377,22.113431013430926,20,60.58411756524964
RoBERTalex,400,759.5,-7.264957264957261,8905.900000000005,-9.127178482510946,16621.85,-8.221844303706249,11.72600394996709,21.885253456221196,20,58.96829492397987
MEL,400,882.0,7.692307692307687,10228.800000000001,4.371250153054906,19808.699999999997,9.37446510112736,11.597278911564628,22.458843537414964,20,59.11337101455601
MrBERT-legal,400,899.0,9.768009768009778,11013.800000000001,12.381127300926398,19358.94999999991,6.891153945966155,12.251167964404896,21.533870967741834,20,60.775256858177265
