issue_date,year,diary_number,section_code,section_name,department_code,department_name,epigraph,identifier,title,url_xml,url_html,url_pdf,source_format,sha256_text,char_count,word_count
20210215,2021,39,1,I. Disposiciones generales,9570,MINISTERIO DE CULTURA Y DEPORTE,Organización,BOE-A-2021-2167,"Orden CUD/122/2021, de 9 de febrero, por la que se determina la composición y funciones de la Comisión Administradora del Fondo de Ayuda a las Bellas Artes.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2167,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2167,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2167.pdf,xml,ed847c057abf817c00e3a2ae73fe68a41cf727e791011d77f65c43feb8ae0f02,11509,1788
20210215,2021,39,1,I. Disposiciones generales,8070,COMUNIDAD AUTÓNOMA DE CATALUÑA,Economía,BOE-A-2021-2169,"Corrección de errores de la Ley 18/2020, de 28 de diciembre, de facilitación de la actividad económica.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2169,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2169,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2169.pdf,xml,fe436b1a70ec1e7bd3c12a09f9ea1adf7c3d19ca89b689f90d2d1bfc1d987319,7177,999
20210215,2021,39,1,I. Disposiciones generales,8150,COMUNIDAD AUTÓNOMA DEL PRINCIPADO DE ASTURIAS,Presupuestos,BOE-A-2021-2170,"Corrección de errores de la Ley 3/2020, de 30 de diciembre, de Presupuestos Generales para 2021.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2170,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2170,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2170.pdf,xml,36ec0af885b20d5c3cfa670eb8b8dd1928dc43a30f9341bf06d2e615d2b32696,1315,207
20210215,2021,39,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",9561,MINISTERIO DE POLÍTICA TERRITORIAL Y FUNCIÓN PÚBLICA,Destinos,BOE-A-2021-2180,"Resolución de 4 de febrero de 2021, de la Subsecretaría, por la que se resuelve el concurso específico, convocado por Resolución de 11 de septiembre de 2020, en la Mutualidad General de Funcionarios Civiles del Estado.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2180,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2180,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2180.pdf,xml,5655af11a91499d0c299e45bff66f700621a298bede4fb4f7834da968fbcd242,9472,1351
20210215,2021,39,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",310,UNIVERSIDADES,Nombramientos,BOE-A-2021-2184,"Resolución de 29 de enero de 2021, de la Universidad de León, por la que se nombra Catedrática de Universidad a doña Xiomar Arleth Gómez Barrios.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2184,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2184,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2184.pdf,xml,e53a1fcb8172a4d553f4d2ebda47c322da87c7f37031c0d785f03393a72ada07,1709,260
20210215,2021,39,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",310,UNIVERSIDADES,Nombramientos,BOE-A-2021-2185,"Resolución de 1 de febrero de 2021, de la Universidad Nacional de Educación a Distancia, por la que se nombra Profesora Titular de Universidad a doña Leire Salazar Vález.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2185,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2185,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2185.pdf,xml,7a8ed7aadbdd74a442cee911e5e8f248ca53ee1afd654b57a13e39666c1ebe9b,788,116
20210215,2021,39,2B,II. Autoridades y personal. - B. Oposiciones y concursos,9525,ADMINISTRACIÓN LOCAL,Personal funcionario y laboral,BOE-A-2021-2266,"Resolución de 9 de febrero de 2021, de la Diputación Provincial de Valencia, referente a la convocatoria para proveer una plaza.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2266,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2266,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2266.pdf,xml,fd741a90c0bc37ae4953db12faa2391ec19b0d2f6d9ad9172bfe196f3d77dbba,797,122
20210215,2021,39,2B,II. Autoridades y personal. - B. Oposiciones y concursos,9525,ADMINISTRACIÓN LOCAL,Personal funcionario y laboral,BOE-A-2021-2268,"Resolución de 9 de febrero de 2021, del Ayuntamiento de Zaratán (Valladolid), referente a la convocatoria para proveer una plaza.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2268,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2268,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2268.pdf,xml,a81e7380349db5ac4df0028b9b2a7607dc62c3d3967823daeb26e36262212a9f,995,154
20210215,2021,39,3,III. Otras disposiciones,9574,"MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA",Comunidad Autónoma de las Illes Balears. Convenio,BOE-A-2021-2296,"Resolución de 9 de febrero de 2021, de la Subsecretaría, por la que se publica el Convenio entre la Mutualidad General de Funcionarios Civiles del Estado, el Instituto Social de las Fuerzas Armadas, la Mutualidad General Judicial y el Servicio de Salud de las Islas Baleares, para la integración del colectivo de sus titulares y beneficiarios en el sistema de receta electrónica.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2296,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2296,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2296.pdf,xml,420e9281fb311a9f5966909d07b88cf6f4fb05a5b61112ace223225c11f85277,31927,4711
20210215,2021,39,3,III. Otras disposiciones,4245,MINISTERIO DE CIENCIA E INNOVACIÓN,Convenios,BOE-A-2021-2308,"Resolución de 9 de febrero de 2021, del Consorcio Centro Nacional de Investigación sobre la Evolución Humana, por la que se publica el Convenio con la Fundación Palarq, para regular la colaboración en actividades de interés general: Proyecto ""Variabilidad del comportamiento del Homo erectus durante el Pleistoceno Inferior en el altiplano etíope en Melka Kunture (2.a campaña)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-2308,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-2308,https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2308.pdf,xml,d1fcc71267e4cb7824e8be3d54dd76c128d0915bcd30ab84b50e8b251bc23bc8,18214,2742
