identifier,issue_date,year,section_code,section_name,department_name,char_count,word_count,tokens_BETO,tokens_RoBERTalex,tokens_MEL,tokens_MrBERT-legal
BOE-A-2021-8035,20210515,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO GENERAL DEL PODER JUDICIAL,750,117,168,157,181,208
BOE-A-2021-8036,20210515,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO GENERAL DEL PODER JUDICIAL,693,106,154,144,165,187
BOE-A-2021-8037,20210515,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO GENERAL DEL PODER JUDICIAL,1107,171,224,212,251,247
BOE-A-2021-8045,20210515,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DEL INTERIOR,53027,8053,10700,9516,11280,11012
BOE-A-2021-8081,20210515,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,1029,164,235,217,246,280
BOE-A-2021-8085,20210515,2021,3,III. Otras disposiciones,MINISTERIO DEL INTERIOR,18949,2844,3743,3449,4027,4054
BOE-A-2021-8090,20210515,2021,3,III. Otras disposiciones,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",26254,4005,5272,5000,5798,5562
BOE-A-2021-11766,20210715,2021,1,I. Disposiciones generales,COMUNIDAD AUTÓNOMA DEL PAÍS VASCO,132293,19994,25057,23662,27554,26592
BOE-A-2021-11767,20210715,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO GENERAL DEL PODER JUDICIAL,624,101,157,136,161,172
BOE-A-2021-11771,20210715,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE IGUALDAD,5877,766,1551,1359,1613,1830
BOE-A-2021-11778,20210715,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,3044,468,610,570,678,670
BOE-A-2021-11789,20210715,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",3903,577,846,762,912,920
BOE-A-2021-11805,20210715,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,"MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES",3246,487,673,625,726,743
BOE-A-2021-11812,20210715,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,COMUNIDAD AUTÓNOMA DE CATALUÑA,5951,876,1243,1130,1310,1354
BOE-A-2021-11857,20210715,2021,3,III. Otras disposiciones,"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",9646,1486,2316,2106,2352,2748
BOE-A-2021-11862,20210715,2021,3,III. Otras disposiciones,MINISTERIO DE CULTURA Y DEPORTE,1386,217,337,312,337,388
BOE-A-2021-11868,20210715,2021,3,III. Otras disposiciones,COMUNIDAD AUTÓNOMA DE CANARIAS,2893,441,602,550,640,647
BOE-A-2021-13919,20210816,2021,1,I. Disposiciones generales,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,7275,1090,1471,1320,1647,1599
BOE-A-2021-13920,20210816,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1773,267,379,354,416,437
BOE-A-2021-13921,20210816,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1763,267,374,347,409,431
BOE-A-2021-13922,20210816,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1875,279,393,371,435,457
BOE-A-2021-13925,20210816,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE DEFENSA,4537,524,1650,1219,1399,1688
BOE-A-2021-13950,20210816,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,818,124,168,159,190,186
BOE-A-2021-13953,20210816,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,900,150,205,189,219,218
BOE-A-2021-13972,20210816,2021,3,III. Otras disposiciones,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",42573,5200,12787,10780,11604,15193
BOE-A-2021-13974,20210816,2021,3,III. Otras disposiciones,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",18449,2151,5123,4416,5168,6459
BOE-A-2021-13976,20210816,2021,3,III. Otras disposiciones,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",24004,2954,6548,5815,6734,8063
BOE-A-2021-16684,20211015,2021,1,I. Disposiciones generales,TRIBUNAL CONSTITUCIONAL,781,115,177,168,179,221
BOE-A-2021-16687,20211015,2021,1,I. Disposiciones generales,TRIBUNAL CONSTITUCIONAL,985,140,234,207,228,266
BOE-A-2021-16688,20211015,2021,1,I. Disposiciones generales,TRIBUNAL CONSTITUCIONAL,889,130,201,181,207,230
BOE-A-2021-16691,20211015,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO GENERAL DEL PODER JUDICIAL,714,114,170,153,176,196
BOE-A-2021-16697,20211015,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL,2117,314,482,426,500,531
BOE-A-2021-16700,20211015,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1775,257,385,351,424,443
BOE-A-2021-16728,20211015,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,"MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA",5681,817,1261,1140,1350,1414
BOE-A-2021-16740,20211015,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE DERECHOS SOCIALES Y AGENDA 2030,3764,558,810,738,869,871
BOE-A-2021-16777,20211015,2021,3,III. Otras disposiciones,MINISTERIO DEL INTERIOR,3880,535,790,732,866,887
BOE-A-2021-16786,20211015,2021,3,III. Otras disposiciones,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,204233,31182,38953,36862,43172,42382
BOE-A-2021-18613,20211115,2021,1,I. Disposiciones generales,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,7285,1087,1458,1314,1640,1592
BOE-A-2021-18614,20211115,2021,1,I. Disposiciones generales,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,5239,784,1223,1110,1288,1391
BOE-A-2021-18617,20211115,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE JUSTICIA,555,89,122,113,134,139
BOE-A-2021-18619,20211115,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,5024,724,1311,1027,1352,1416
BOE-A-2021-18622,20211115,2021,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1966,288,397,367,446,460
BOE-A-2021-18640,20211115,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",9006,1303,1802,1658,2017,1938
BOE-A-2021-18661,20211115,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,869,138,195,181,211,214
BOE-A-2021-18672,20211115,2021,2B,II. Autoridades y personal. - B. Oposiciones y concursos,UNIVERSIDADES,851,141,196,179,211,219
BOE-A-2021-18696,20211115,2021,3,III. Otras disposiciones,MINISTERIO DE CULTURA Y DEPORTE,6301,1004,1320,1239,1413,1494
BOE-A-2021-18701,20211115,2021,3,III. Otras disposiciones,COMISIÓN NACIONAL DEL MERCADO DE VALORES,64107,9787,12817,12101,13974,14661
BOE-A-2022-618,20220115,2022,1,I. Disposiciones generales,MINISTERIO DE UNIVERSIDADES,6543,931,1341,1182,1420,1478
BOE-A-2022-619,20220115,2022,1,I. Disposiciones generales,MINISTERIO DE UNIVERSIDADES,14608,1919,3234,2826,3287,3248
BOE-A-2022-620,20220115,2022,1,I. Disposiciones generales,MINISTERIO DE UNIVERSIDADES,4815,708,920,858,1006,1020
BOE-A-2022-621,20220115,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias","MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",658,95,154,142,165,195
BOE-A-2022-623,20220115,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE JUSTICIA,3623,550,746,695,810,824
BOE-A-2022-630,20220115,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",6232,923,1351,1215,1451,1450
BOE-A-2022-632,20220115,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",11233,1560,3341,2685,3265,3614
BOE-A-2022-652,20220115,2022,3,III. Otras disposiciones,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,141846,19459,37809,33756,37098,46725
BOE-A-2022-655,20220115,2022,3,III. Otras disposiciones,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",19937,3013,4066,3756,4402,4382
BOE-A-2022-661,20220115,2022,3,III. Otras disposiciones,MINISTERIO DE POLÍTICA TERRITORIAL,1125,162,249,230,266,290
BOE-A-2022-2328,20220215,2022,1,I. Disposiciones generales,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,28929,4524,5842,5459,6293,6398
BOE-A-2022-2329,20220215,2022,1,I. Disposiciones generales,MINISTERIO DE ASUNTOS ECONÓMICOS Y TRANSFORMACIÓN DIGITAL,681,106,171,150,172,191
BOE-A-2022-2330,20220215,2022,1,I. Disposiciones generales,COMUNIDAD FORAL DE NAVARRA,17681,2680,3647,3302,4008,4137
BOE-A-2022-2331,20220215,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO GENERAL DEL PODER JUDICIAL,1487,236,343,320,370,355
BOE-A-2022-2333,20220215,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO GENERAL DEL PODER JUDICIAL,2330,350,598,495,591,550
BOE-A-2022-2336,20220215,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE JUSTICIA,1451,218,321,286,350,348
BOE-A-2022-2351,20220215,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,1920,290,460,431,480,500
BOE-A-2022-2369,20220215,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE SANIDAD,3367,505,702,656,775,778
BOE-A-2022-2421,20220215,2022,3,III. Otras disposiciones,MINISTERIO DEL INTERIOR,17725,2683,3403,3228,3755,3723
BOE-A-2022-2425,20220215,2022,3,III. Otras disposiciones,MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL,19422,2961,3722,3505,4034,3888
BOE-A-2022-6170,20220415,2022,1,I. Disposiciones generales,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",23021,2760,6873,6400,6797,6908
BOE-A-2022-6171,20220415,2022,1,I. Disposiciones generales,MINISTERIO DE CONSUMO,4014,611,783,746,833,844
BOE-A-2022-6173,20220415,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO DE DEFENSA,584,90,143,135,148,161
BOE-A-2022-6177,20220415,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO DE SEGURIDAD NUCLEAR,2684,407,597,563,640,698
BOE-A-2022-6178,20220415,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",CONSEJO DE SEGURIDAD NUCLEAR,4349,592,1448,1105,1414,1588
BOE-A-2022-6193,20220415,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,3176,470,658,618,712,735
BOE-A-2022-6203,20220415,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,4933,721,1242,942,1257,1211
BOE-A-2022-6215,20220415,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,845,130,178,165,195,193
BOE-A-2022-6260,20220415,2022,3,III. Otras disposiciones,"MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA",24548,3763,5064,4673,5367,5454
BOE-A-2022-6271,20220415,2022,3,III. Otras disposiciones,CONSEJO DE SEGURIDAD NUCLEAR,38381,5878,7491,7083,8070,7986
BOE-A-2022-7877,20220516,2022,1,I. Disposiciones generales,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,7260,1087,1466,1318,1646,1595
BOE-A-2022-7878,20220516,2022,1,I. Disposiciones generales,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,5187,784,1234,1114,1292,1398
BOE-A-2022-7879,20220516,2022,1,I. Disposiciones generales,TRIBUNAL SUPREMO,3932,579,844,787,919,952
BOE-A-2022-7889,20220516,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,2803,412,634,577,662,720
BOE-A-2022-7892,20220516,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1743,256,387,353,425,450
BOE-A-2022-7894,20220516,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1774,259,391,359,430,462
BOE-A-2022-7923,20220516,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE SANIDAD,3525,520,727,683,811,826
BOE-A-2022-7961,20220516,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,ADMINISTRACIÓN LOCAL,974,146,206,192,236,231
BOE-A-2022-8041,20220516,2022,3,III. Otras disposiciones,MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL,2151,326,439,407,483,494
BOE-A-2022-8049,20220516,2022,3,III. Otras disposiciones,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,71264,10886,14939,13726,15986,15592
BOE-A-2022-11722,20220715,2022,1,I. Disposiciones generales,MINISTERIO DEL INTERIOR,3702,560,774,709,826,876
BOE-A-2022-11725,20220715,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias","MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",13052,1907,5393,3781,4716,4900
BOE-A-2022-11733,20220715,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,2472,375,506,484,568,596
BOE-A-2022-11739,20220715,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,2257,346,487,451,549,553
BOE-A-2022-11749,20220715,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE JUSTICIA,5067,741,1095,994,1188,1198
BOE-A-2022-11760,20220715,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,12402,1762,4267,2587,3713,3676
BOE-A-2022-11764,20220715,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,MINISTERIO DE SANIDAD,3522,518,733,682,815,826
BOE-A-2022-11788,20220715,2022,3,III. Otras disposiciones,MINISTERIO DE DEFENSA,12296,1926,2547,2398,2764,2741
BOE-A-2022-11790,20220715,2022,3,III. Otras disposiciones,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,792734,91951,365099,236525,282822,402100
BOE-A-2022-11803,20220715,2022,3,III. Otras disposiciones,MINISTERIO DE UNIVERSIDADES,22272,3427,4396,4155,4809,4664
BOE-A-2022-13724,20220815,2022,1,I. Disposiciones generales,"MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA",15153,2268,2929,2750,3116,3258
BOE-A-2022-13727,20220815,2022,1,I. Disposiciones generales,COMUNITAT VALENCIANA,9544,1388,1860,1775,1960,2073
BOE-A-2022-13728,20220815,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1834,277,388,359,427,440
BOE-A-2022-13731,20220815,2022,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,1855,279,386,360,428,444
BOE-A-2022-13732,20220815,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",5436,823,1150,1049,1257,1238
BOE-A-2022-13736,20220815,2022,2B,II. Autoridades y personal. - B. Oposiciones y concursos,"MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA",4738,705,992,922,1081,1100
BOE-A-2022-13780,20220815,2022,3,III. Otras disposiciones,MINISTERIO DE UNIVERSIDADES,20001,3051,3948,3729,4347,4217
BOE-A-2022-13781,20220815,2022,3,III. Otras disposiciones,MINISTERIO DE UNIVERSIDADES,12901,1977,2534,2417,2817,2762
BOE-A-2022-13787,20220815,2022,T,T.C. Sección del Tribunal Constitucional,TRIBUNAL CONSTITUCIONAL,47398,7484,10182,9485,11004,11320
BOE-A-2022-13796,20220815,2022,T,T.C. Sección del Tribunal Constitucional,TRIBUNAL CONSTITUCIONAL,37114,5625,7488,6896,8170,8147
BOE-A-2022-16829,20221015,2022,1,I. Disposiciones generales,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,1728,257,521,450,504,541
BOE-A-2022-16830,20221015,2022,1,I. Disposiciones generales,MINISTERIO DE ASUNTOS ECONÓMICOS Y TRANSFORMACIÓN DIGITAL,7571,1215,1578,1493,1709,1806
